"time_period","time_identifier","geographic_level","country_code","country_name","group","stem","pathway","top_10_subjects","percentage","all_occupations_percentage"
2019,"Calendar year","National","E92000001","England","Engineering Biology SOC2010","STEM","Higher Education","Computer science",0.155908885396258,0.0174406125710503
2019,"Calendar year","National","E92000001","England","Engineering Biology SOC2010","STEM","Higher Education","Engineering & technology",0.147835166964497,0.0204116002668749
2019,"Calendar year","National","E92000001","England","Engineering Biology SOC2010","STEM","Higher Education","Physical sciences",0.0673563416367042,0.0177797014724669
2019,"Calendar year","National","E92000001","England","Engineering Biology SOC2010","STEM","Higher Education","Subjects allied to medicine",0.0308523693672358,0.0348059079695266
2019,"Calendar year","National","E92000001","England","Engineering technicians","Not STEM","Apprenticeship","Business, Administration, Finance and Law",0.0333333333333333,0.0303208188301982
2019,"Calendar year","National","E92000001","England","Engineering technicians","Not STEM","Further Education","Health, Public Services and Care",0.0333333333333333,0.0570535663489338
2019,"Calendar year","National","E92000001","England","Engineering technicians","Not STEM","Further Education","Leisure, Travel and Tourism",0.0555555555555556,0.0345877144438296
2019,"Calendar year","National","E92000001","England","Engineering technicians","Not STEM","Higher Education","Creative arts & design",0.0333333333333333,0.0440951336702026
2019,"Calendar year","National","E92000001","England","Engineering technicians","STEM","Apprenticeship","Construction, Planning and the Built Environment",0.0333333333333333,0.0076610171244744
2019,"Calendar year","National","E92000001","England","Engineering technicians","STEM","Apprenticeship","Engineering and Manufacturing Technologies",0.155555555555556,0.0287368954584715
2019,"Calendar year","National","E92000001","England","Engineering technicians","STEM","Further Education","Engineering and Manufacturing Technologies",0.144444444444444,0.0257306735488676
2019,"Calendar year","National","E92000001","England","Engineering technicians","STEM","Higher Education","Biological sciences",0.0333333333333333,0.0398495725346394
2019,"Calendar year","National","E92000001","England","Engineering technicians","STEM","Higher Education","Computer science",0.0333333333333333,0.0174406125710503
2019,"Calendar year","National","E92000001","England","Engineering technicians","STEM","Higher Education","Engineering & technology",0.155555555555556,0.0204116002668749
2019,"Calendar year","National","E92000001","England","Future Telecommunications SOC2010","Not STEM","Higher Education","Business & administrative studies",0.0545421674136241,0.0525235455057952
2019,"Calendar year","National","E92000001","England","Future Telecommunications SOC2010","Not STEM","Higher Education","Creative arts & design",0.0344076199175968,0.0440951336702026
2019,"Calendar year","National","E92000001","England","Future Telecommunications SOC2010","Not STEM","Higher Education","Social studies",0.0512498453750488,0.0403877832313588
2019,"Calendar year","National","E92000001","England","Future Telecommunications SOC2010","STEM","Apprenticeship","Engineering and Manufacturing Technologies",0.0475769080718982,0.0287368954584715
2019,"Calendar year","National","E92000001","England","Future Telecommunications SOC2010","STEM","Apprenticeship","Information and Communication Technology (ICT)",0.0380615264575186,0.00730544249000512
2019,"Calendar year","National","E92000001","England","Future Telecommunications SOC2010","STEM","Further Education","Engineering and Manufacturing Technologies",0.0418676791032704,0.0257306735488676
2019,"Calendar year","National","E92000001","England","Future Telecommunications SOC2010","STEM","Higher Education","Biological sciences",0.0358349271597537,0.0398495725346394
2019,"Calendar year","National","E92000001","England","Future Telecommunications SOC2010","STEM","Higher Education","Computer science",0.170477577003226,0.0174406125710503
2019,"Calendar year","National","E92000001","England","Future Telecommunications SOC2010","STEM","Higher Education","Engineering & technology",0.102128590867137,0.0204116002668749
2019,"Calendar year","National","E92000001","England","Future Telecommunications SOC2010","STEM","Higher Education","Physical sciences",0.0483952308907349,0.0177797014724669
2019,"Calendar year","National","E92000001","England","IT business analysts, architects and systems designers","Not STEM","Apprenticeship","Business, Administration, Finance and Law",0.0384664700602641,0.0303208188301982
2019,"Calendar year","National","E92000001","England","IT business analysts, architects and systems designers","Not STEM","Higher Education","Historical & philosophical studies",0.0384664700602641,0.0174874837728667
2019,"Calendar year","National","E92000001","England","IT business analysts, architects and systems designers","Not STEM","Higher Education","Law",0.0384664700602641,0.0158385872179323
2019,"Calendar year","National","E92000001","England","IT business analysts, architects and systems designers","Not STEM","Higher Education","Mass communications & documentation",0.0448775484036415,0.0140513398052227
2019,"Calendar year","National","E92000001","England","IT business analysts, architects and systems designers","Not STEM","Higher Education","Social studies",0.0448775484036415,0.0403877832313588
2019,"Calendar year","National","E92000001","England","IT business analysts, architects and systems designers","STEM","Apprenticeship","Information and Communication Technology (ICT)",0.115399410180792,0.00730544249000512
2019,"Calendar year","National","E92000001","England","IT business analysts, architects and systems designers","STEM","Further Education","Information and Communication Technology (ICT)",0.0384664700602641,0.0223688770047944
2019,"Calendar year","National","E92000001","England","IT business analysts, architects and systems designers","STEM","Higher Education","Computer science",0.205154506988075,0.0174406125710503
2019,"Calendar year","National","E92000001","England","IT business analysts, architects and systems designers","STEM","Higher Education","Engineering & technology",0.102577253494038,0.0204116002668749
2019,"Calendar year","National","E92000001","England","IT business analysts, architects and systems designers","STEM","Higher Education","Physical sciences",0.0769329401205283,0.0177797014724669
2019,"Calendar year","National","E92000001","England","Programmers and software development professionals","Not STEM","Higher Education","Business & administrative studies",0.0510907697891044,0.0525235455057952
2019,"Calendar year","National","E92000001","England","Programmers and software development professionals","Not STEM","Higher Education","Creative arts & design",0.0141134723174322,0.0440951336702026
2019,"Calendar year","National","E92000001","England","Programmers and software development professionals","Not STEM","Higher Education","Languages",0.0201621033106174,0.0213797330216345
2019,"Calendar year","National","E92000001","England","Programmers and software development professionals","Not STEM","Higher Education","Social studies",0.0201621033106174,0.0403877832313588
2019,"Calendar year","National","E92000001","England","Programmers and software development professionals","STEM","Apprenticeship","Information and Communication Technology (ICT)",0.0403242066212347,0.00730544249000512
2019,"Calendar year","National","E92000001","England","Programmers and software development professionals","STEM","Further Education","Information and Communication Technology (ICT)",0.0362917859591113,0.0223688770047944
2019,"Calendar year","National","E92000001","England","Programmers and software development professionals","STEM","Higher Education","Computer science",0.501350860921811,0.0174406125710503
2019,"Calendar year","National","E92000001","England","Programmers and software development professionals","STEM","Higher Education","Engineering & technology",0.0826646235735312,0.0204116002668749
