"time_period","area","geographic_level","Total Completed Key Stage 4","Cohort Group","Unknown","Not Recorded as a Sustained Destination","Sustained Apprenticeships","Sustained Education","Sustained Employment"
201819,"Rochdale","LADU","400","All other qualifications","41","120","55","91","93"
201819,"Rochdale","LADU","523","Level 2","25","96","75","217","110"
201819,"Rochdale","LADU","1102","Level 3","20","104","79","694","205"
201920,"Rochdale","LADU","2071","Total","99","335","181","1049","407"
201920,"Rochdale","LADU","450","All other qualifications","48","117","57","119","109"
201920,"Rochdale","LADU","413","Level 2","19","77","51","194","72"
201920,"Rochdale","LADU","1208","Level 3","32","141","73","736","226"
201718,"Salford","LADU","2445","Total","145","378","247","934","741"
201718,"Salford","LADU","421","All other qualifications","59","115","53","75","119"
201718,"Salford","LADU","318","Level 2","23","79","48","46","122"
201718,"Salford","LADU","1706","Level 3","63","184","146","813","500"
201819,"Salford","LADU","2383","Total","104","365","192","1112","610"
201819,"Salford","LADU","362","All other qualifications","49","115","37","73","88"
201819,"Salford","LADU","663","Level 2","23","116","34","302","188"
201819,"Salford","LADU","1358","Level 3","32","134","121","737","334"
201920,"Salford","LADU","2048","Total","113","372","207","886","470"
201920,"Salford","LADU","398","All other qualifications","55","145","48","61","89"
201920,"Salford","LADU","309","Level 2","9","73","60","85","82"
201920,"Salford","LADU","1341","Level 3","49","154","99","740","299"
201718,"Sefton","LADU","2821","Total","168","375","302","1349","627"
201718,"Sefton","LADU","382","All other qualifications","43","98","89","63","89"
201718,"Sefton","LADU","488","Level 2","29","95","82","169","113"
201718,"Sefton","LADU","1951","Level 3","96","182","131","1117","425"
201819,"Sefton","LADU","2682","Total","141","443","293","1174","631"
201819,"Sefton","LADU","507","All other qualifications","54","153","97","91","112"
201819,"Sefton","LADU","603","Level 2","33","127","101","185","157"
201819,"Sefton","LADU","1572","Level 3","54","163","95","898","362"
201920,"Sefton","LADU","2620","Total","135","383","223","1224","655"
201920,"Sefton","LADU","468","All other qualifications","48","125","64","111","120"
201920,"Sefton","LADU","585","Level 2","31","120","80","214","140"
201920,"Sefton","LADU","1567","Level 3","56","138","79","899","395"
201718,"St. Helens","LADU","2239","Total","105","275","271","1056","532"
201718,"St. Helens","LADU","314","All other qualifications","44","92","63","52","63"
201718,"St. Helens","LADU","402","Level 2","24","73","56","109","140"
201718,"St. Helens","LADU","1523","Level 3","37","110","152","895","329"
201819,"St. Helens","LADU","2163","Total","76","299","280","1052","456"
201819,"St. Helens","LADU","312","All other qualifications","35","102","57","44","74"
201819,"St. Helens","LADU","430","Level 2","16","88","98","103","125"
201819,"St. Helens","LADU","1421","Level 3","25","109","125","905","257"
201920,"St. Helens","LADU","2261","Total","92","312","252","1036","569"
201920,"St. Helens","LADU","395","All other qualifications","36","109","69","71","110"
201920,"St. Helens","LADU","404","Level 2","15","83","75","89","142"
201920,"St. Helens","LADU","1462","Level 3","41","120","108","876","317"
201718,"Stockport","LADU","2657","Total","157","345","334","1158","663"
201718,"Stockport","LADU","334","All other qualifications","54","100","50","46","84"
201718,"Stockport","LADU","376","Level 2","31","83","72","86","104"
201718,"Stockport","LADU","1947","Level 3","72","162","212","1026","475"
201819,"Stockport","LADU","2569","Total","112","296","338","1213","610"
201819,"Stockport","LADU","323","All other qualifications","42","81","57","69","74"
201819,"Stockport","LADU","478","Level 2","14","68","60","220","116"
201819,"Stockport","LADU","1768","Level 3","56","147","221","924","420"
201920,"Stockport","LADU","2166","Total","104","280","263","958","561"
201920,"Stockport","LADU","266","All other qualifications","26","84","55","28","73"
201920,"Stockport","LADU","213","Level 2","15","52","36","41","69"
201920,"Stockport","LADU","1687","Level 3","63","144","172","889","419"
201718,"Tameside","LADU","2156","Total","115","311","279","949","502"
201718,"Tameside","LADU","382","All other qualifications","46","112","71","74","79"
201718,"Tameside","LADU","403","Level 2","31","75","77","83","137"
201718,"Tameside","LADU","1371","Level 3","38","124","131","792","286"
201819,"Tameside","LADU","2057","Total","106","340","262","837","512"
201819,"Tameside","LADU","314","All other qualifications","38","93","56","31","96"
201819,"Tameside","LADU","492","Level 2","37","129","67","101","158"
201819,"Tameside","LADU","1251","Level 3","31","118","139","705","258"
201920,"Tameside","LADU","2158","Total","116","366","239","903","534"
201920,"Tameside","LADU","313","All other qualifications","44","100","57","40","72"
201920,"Tameside","LADU","359","Level 2","30","117","47","41","124"
201920,"Tameside","LADU","1486","Level 3","42","149","135","822","338"
201718,"Trafford","LADU","2343","Total","106","226","216","1328","467"
201718,"Trafford","LADU","250","All other qualifications","34","65","37","52","62"
201718,"Trafford","LADU","399","Level 2","22","57","70","140","110"
201718,"Trafford","LADU","1694","Level 3","50","104","109","1136","295"
201819,"Trafford","LADU","2508","Total","95","263","200","1435","515"
201819,"Trafford","LADU","284","All other qualifications","29","73","49","60","73"
201819,"Trafford","LADU","487","Level 2","20","79","47","188","153"
201819,"Trafford","LADU","1737","Level 3","46","111","104","1187","289"
201920,"Trafford","LADU","2360","Total","126","238","177","1298","521"
201920,"Trafford","LADU","286","All other qualifications","34","67","43","58","84"
201920,"Trafford","LADU","350","Level 2","26","67","53","77","127"
201920,"Trafford","LADU","1724","Level 3","66","104","81","1163","310"
201718,"Warrington","LADU","2055","Total","85","247","238","891","594"
201718,"Warrington","LADU","250","All other qualifications","15","77","63","20","75"
201718,"Warrington","LADU","260","Level 2","26","54","37","47","96"
201718,"Warrington","LADU","1545","Level 3","44","116","138","824","423"
201819,"Warrington","LADU","2276","Total","78","299","303","911","685"
201819,"Warrington","LADU","237","All other qualifications","15","67","60","26","69"
201819,"Warrington","LADU","476","Level 2","29","87","89","80","191"
201819,"Warrington","LADU","1563","Level 3","34","145","154","805","425"
201920,"Warrington","LADU","2160","Total","87","308","281","887","597"
201920,"Warrington","LADU","254","All other qualifications","29","92","71","16","46"
201920,"Warrington","LADU","282","Level 2","10","67","61","26","118"
201920,"Warrington","LADU","1624","Level 3","48","149","149","845","433"
201718,"Wigan","LADU","3326","Total","129","385","489","1618","705"
201718,"Wigan","LADU","367","All other qualifications","34","113","96","46","78"
201718,"Wigan","LADU","503","Level 2","28","87","98","128","162"
201718,"Wigan","LADU","2456","Level 3","67","185","295","1444","465"
201819,"Wigan","LADU","3320","Total","123","386","391","1682","738"
201819,"Wigan","LADU","438","All other qualifications","44","137","77","81","99"
201819,"Wigan","LADU","678","Level 2","28","118","106","240","186"
201819,"Wigan","LADU","2204","Level 3","51","131","208","1361","453"
201920,"Wigan","LADU","3177","Total","103","413","365","1538","759"
201920,"Wigan","LADU","437","All other qualifications","44","144","93","54","103"
201920,"Wigan","LADU","475","Level 2","19","91","80","119","166"
201920,"Wigan","LADU","2265","Level 3","40","178","192","1365","490"
201718,"Wirral","LADU","3215","Total","145","337","293","1810","630"
