"area","geographic_level","year","Total aged 16-64 None","Total aged 16-64 NVQ1","Total aged 16-64 NVQ2","Total aged 16-64 trade apprenticeships","Total aged 16-64 NVQ3","Total aged 16-64 NVQ4","Total aged 16-64 Other Qualifications","Total aged 16-19 None","Total aged 16-19 NVQ1","Total aged 16-19 NVQ2","Total aged 16-19 trade apprenticeships","Total aged 16-19 NVQ3","Total aged 16-19 NVQ4","Total aged 16-19 Other Qualifications","Total aged 20-24 None","Total aged 20-24 NVQ1","Total aged 20-24 NVQ2","Total aged 20-24 trade apprenticeships","Total aged 20-24 NVQ3","Total aged 20-24 NVQ4","Total aged 20-24 Other Qualifications","Total aged 25-29 None","Total aged 25-29 NVQ1","Total aged 25-29 NVQ2","Total aged 25-29 trade apprenticeships","Total aged 25-29 NVQ3","Total aged 25-29 NVQ4","Total aged 25-29 Other Qualifications","Total aged 30-39 None","Total aged 30-39 NVQ1","Total aged 30-39 NVQ2","Total aged 30-39 trade apprenticeships","Total aged 30-39 NVQ3","Total aged 30-39 NVQ4","Total aged 30-39 Other Qualifications","Total aged 40-49 None","Total aged 40-49 NVQ1","Total aged 40-49 NVQ2","Total aged 40-49 trade apprenticeships","Total aged 40-49 NVQ3","Total aged 40-49 NVQ4","Total aged 40-49 Other Qualifications","Total aged 50-64 None","Total aged 50-64 NVQ1","Total aged 50-64 NVQ2","Total aged 50-64 trade apprenticeships","Total aged 50-64 NVQ3","Total aged 50-64 NVQ4","Total aged 50-64 Other Qualifications"
"Hertfordshire","LSIP",2021,"31100","68600","118000","16800","100900","365600","39900","1200","0","21400","0","12100","0","0","2500","0","6500","0","3300","24600","0","0","0","3200","0","2200","33000","4400","0","1100","15100","0","12300","104100","5100","0","10300","12500","0","23900","103100","7100","10500","38600","39400","7100","23300","93300","13600"
"Hull and East Yorkshire","LSIP",2021,"32900","42900","64600","17300","71900","117700","12600","3200","3100","8600","0","5200","0","1200","0","0","4900","3200","10700","11100","0","1900","5000","3800","2500","8700","10100","0","7300","8900","10800","2200","15300","26400","0","4400","6800","12400","2500","14100","28100","3400","12500","16900","23900","5600","17900","41600","5700"
"Kent and Medway","LSIP",2021,"70900","104500","216700","31100","215500","429900","45300","3600","1800","29300","0","22300","0","0","3100","3200","11800","0","22500","24000","0","0","2800","5600","0","14100","36500","0","6400","8500","29000","2400","36900","111100","3500","2900","12800","40200","1600","33300","100100","3600","24300","46000","66700","14500","54500","144600","14000"
"Lancashire","LSIP",2021,"64200","109300","154900","24200","176000","311200","42900","5400","3600","26500","0","2100","0","0","900","800","3600","1100","32900","19500","0","0","6100","2800","0","10200","35700","0","3700","9300","24800","900","29400","76000","2100","2900","11100","26300","0","32900","59300","10300","29900","42500","45800","7000","46100","110700","12000"
"Leicester and Leicestershire","LSIP",2021,"53000","55200","108300","17200","127800","253800","35400","5000","4000","17200","0","4000","1800","0","0","2900","6200","0","29400","11300","2500","0","4300","5400","0","4100","37400","0","5200","8400","18100","0","24000","60500","6600","8500","5600","17900","0","20900","67500","7600","16100","22500","30900","5700","29900","67100","10000"
"Liverpool City Region","LSIP",2021,"75900","82800","169400","33400","169500","378000","51100","10500","4900","28800","0","17700","800","0","0","1200","19500","0","37700","28100","4100","1500","3600","14700","3200","19100","53800","0","9700","8800","28700","2500","30000","107500","11800","11700","18300","25000","4000","27700","78100","8500","34700","42200","52800","16400","37500","108000","19800"
"Norfolk and Suffolk ","LSIP",2021,"65600","128400","166300","36400","183400","331700","44500","8500","6800","13000","0","10500","0","0","0","2600","7100","1600","29000","14800","0","0","1500","5100","0","28000","35700","0","2600","14100","27100","1700","32500","79700","4900","4400","15500","30800","0","29500","79100","8200","26700","62700","53500","14000","45200","116100","15200"
"North East","LSIP",2021,"62000","71600","149900","27000","124100","220900","56900","5600","6000","25600","0","5800","0","3500","4600","3700","13300","2300","24000","17200","1500","4400","0","15500","2800","18200","27800","4900","5200","11500","17900","4300","24300","56500","13200","9600","11600","26100","700","20400","53500","9900","29900","34500","51500","13500","30900","63700","19900"
"North of Tyne","LSIP",2021,"43300","44000","75700","19700","87600","203000","28900","5700","3100","14700","0","7000","0","900","2800","5400","4300","1000","23100","17000","0","0","2500","4200","0","7700","24800","0","3900","5800","19900","2800","17400","53000","5000","8800","4900","10400","1600","12700","46400","6100","17100","20400","22200","9300","19600","60600","12100"
"Oxfordshire","LSIP",2021,"14300","24400","51900","8400","66000","233200","16500","900","1000","11800","0","10400","0","1800","0","0","6100","0","13100","10000","0","0","0","0","0","2200","36700","0","0","4400","2900","0","7500","57900","5600","1200","4000","4900","0","9600","55500","1200","0","9400","19000","1800","17000","70100","4900"
