"area","geographic_level","time_period","all_unknown","all_notsust","cohort","appren","education","all_work"
"Cumbria","LSIP",201819,"26","175","4661","493","3759","208"
"Cumbria","LSIP",201920,"30","222","4893","455","3962","224"
"Derbyshire and Nottinghamshire","LSIP",201516,"151","1249","21490","1417","17922","751"
"Derbyshire and Nottinghamshire","LSIP",201617,"170","1267","20535","1439","16892","767"
"Derbyshire and Nottinghamshire","LSIP",201718,"143","1177","19713","1231","16356","806"
"Derbyshire and Nottinghamshire","LSIP",201819,"163","1113","19573","1227","16242","828"
"Derbyshire and Nottinghamshire","LSIP",201920,"177","1146","20264","1090","17078","773"
"Dorset","LSIP",201516,"77","588","14287","727","12427","468"
"Dorset","LSIP",201617,"78","533","13786","712","11991","472"
"Dorset","LSIP",201718,"67","490","13243","583","11598","505"
"Dorset","LSIP",201819,"76","510","13155","604","11465","500"
"Dorset","LSIP",201920,"84","597","13453","531","11726","515"
"Enterprise M3 LEP (including all of Surrey)","LSIP",201516,"80","419","10711","392","9498","322"
"Enterprise M3 LEP (including all of Surrey)","LSIP",201617,"65","371","10331","343","9210","342"
"Enterprise M3 LEP (including all of Surrey)","LSIP",201718,"97","343","10025","345","8911","329"
"Enterprise M3 LEP (including all of Surrey)","LSIP",201819,"84","376","9782","256","8774","292"
"Enterprise M3 LEP (including all of Surrey)","LSIP",201920,"82","335","10310","256","9333","304"
"Essex, Southend-on-Sea and Thurrock","LSIP",201516,"104","860","18796","878","16357","597"
"Essex, Southend-on-Sea and Thurrock","LSIP",201617,"101","847","18056","830","15621","657"
"Essex, Southend-on-Sea and Thurrock","LSIP",201718,"119","810","17814","725","15552","608"
"Essex, Southend-on-Sea and Thurrock","LSIP",201819,"102","838","17335","716","15099","580"
"Essex, Southend-on-Sea and Thurrock","LSIP",201920,"128","844","17995","636","15798","589"
"Gloucestershire","LSIP",201516,"46","337","6486","360","5514","229"
"Gloucestershire","LSIP",201617,"50","274","6282","330","5409","219"
"Gloucestershire","LSIP",201718,"30","294","6064","352","5140","248"
"Gloucestershire","LSIP",201819,"31","255","5914","310","5034","284"
"Gloucestershire","LSIP",201920,"49","292","6299","323","5355","280"
"Greater Lincolnshire","LSIP",201516,"63","605","12000","628","10456","248"
"Greater Lincolnshire","LSIP",201617,"61","552","11513","653","9977","270"
"Greater Lincolnshire","LSIP",201718,"74","495","11144","566","9746","263"
"Greater Lincolnshire","LSIP",201819,"67","468","10713","568","9319","291"
"Greater Lincolnshire","LSIP",201920,"77","484","11227","561","9789","316"
"Greater London","LSIP",201516,"914","3353","74150","1614","67183","1086"
"Greater London","LSIP",201617,"963","3341","75141","1535","68082","1220"
"Greater London","LSIP",201718,"940","3143","74064","1202","67557","1222"
"Greater London","LSIP",201819,"982","3053","74676","1068","68437","1136"
"Greater London","LSIP",201920,"1072","3125","78085","1022","71757","1109"
"Greater Manchester","LSIP",201516,"205","1917","28529","1485","23965","957"
"Greater Manchester","LSIP",201617,"216","1739","27921","1363","23559","1044"
"Greater Manchester","LSIP",201718,"177","1718","27433","1240","23238","1060"
"Greater Manchester","LSIP",201819,"210","1624","27679","1132","23781","932"
"Greater Manchester","LSIP",201920,"258","1859","28411","1104","24150","1040"
"Heart of the South-West","LSIP",201516,"63","736","16468","1060","14229","380"
"Heart of the South-West","LSIP",201617,"74","638","15944","1000","13781","451"
"Heart of the South-West","LSIP",201718,"83","614","15083","1007","12919","460"
"Heart of the South-West","LSIP",201819,"79","670","14734","999","12511","475"
"Heart of the South-West","LSIP",201920,"100","699","15400","930","13156","515"
"Hertfordshire","LSIP",201516,"68","440","12569","379","11400","282"
"Hertfordshire","LSIP",201617,"63","402","12385","390","11210","320"
"Hertfordshire","LSIP",201718,"57","384","12482","381","11355","305"
"Hertfordshire","LSIP",201819,"78","368","12173","265","11156","306"
"Hertfordshire","LSIP",201920,"91","376","12665","274","11621","303"
"Hull and East Yorkshire","LSIP",201516,"30","340","5948","482","4951","145"
"Hull and East Yorkshire","LSIP",201617,"36","297","5530","480","4548","169"
"Hull and East Yorkshire","LSIP",201718,"36","321","5527","388","4599","183"
