"area","geographic_level","time_period","age_group","level_or_type","achievements","Year","level_or_typeNeat","AY"
"Liverpool City Region","LSIP",201819,NA,"Community learning: Total",18670,18,"Community learning (adults only)","18/19"
"Liverpool City Region","LSIP",201819,NA,"Education and training: Total",31940,18,"Education and training (adults only)","18/19"
"Liverpool City Region","LSIP",201819,NA,"Further education and skills: Total",53980,18,"Total FE and skills provision","18/19"
"Norfolk and Suffolk (Greater Anglia)","LSIP",201819,NA,"Apprenticeships: Total",5540,18,"Apprenticeships (all ages)","18/19"
"Norfolk and Suffolk (Greater Anglia)","LSIP",201819,NA,"Community learning: Total",8650,18,"Community learning (adults only)","18/19"
"Norfolk and Suffolk (Greater Anglia)","LSIP",201819,NA,"Education and training: Total",16170,18,"Education and training (adults only)","18/19"
"Norfolk and Suffolk (Greater Anglia)","LSIP",201819,NA,"Further education and skills: Total",30090,18,"Total FE and skills provision","18/19"
"North East","LSIP",201819,NA,"Apprenticeships: Total",6010,18,"Apprenticeships (all ages)","18/19"
"North East","LSIP",201819,NA,"Community learning: Total",11250,18,"Community learning (adults only)","18/19"
"North East","LSIP",201819,NA,"Education and training: Total",32780,18,"Education and training (adults only)","18/19"
"North East","LSIP",201819,NA,"Further education and skills: Total",48400,18,"Total FE and skills provision","18/19"
"North of Tyne","LSIP",201819,NA,"Apprenticeships: Total",3140,18,"Apprenticeships (all ages)","18/19"
"North of Tyne","LSIP",201819,NA,"Community learning: Total",3680,18,"Community learning (adults only)","18/19"
"North of Tyne","LSIP",201819,NA,"Education and training: Total",18860,18,"Education and training (adults only)","18/19"
"North of Tyne","LSIP",201819,NA,"Further education and skills: Total",24680,18,"Total FE and skills provision","18/19"
"Oxfordshire","LSIP",201819,NA,"Apprenticeships: Total",1550,18,"Apprenticeships (all ages)","18/19"
"Oxfordshire","LSIP",201819,NA,"Community learning: Total",5120,18,"Community learning (adults only)","18/19"
"Oxfordshire","LSIP",201819,NA,"Education and training: Total",5720,18,"Education and training (adults only)","18/19"
"Oxfordshire","LSIP",201819,NA,"Further education and skills: Total",11990,18,"Total FE and skills provision","18/19"
"Solent","LSIP",201819,NA,"Apprenticeships: Total",5810,18,"Apprenticeships (all ages)","18/19"
"Solent","LSIP",201819,NA,"Community learning: Total",8210,18,"Community learning (adults only)","18/19"
"Solent","LSIP",201819,NA,"Education and training: Total",15630,18,"Education and training (adults only)","18/19"
"Solent","LSIP",201819,NA,"Further education and skills: Total",30840,18,"Total FE and skills provision","18/19"
"South East Midlands","LSIP",201819,NA,"Apprenticeships: Total",4810,18,"Apprenticeships (all ages)","18/19"
"South East Midlands","LSIP",201819,NA,"Community learning: Total",10250,18,"Community learning (adults only)","18/19"
"South East Midlands","LSIP",201819,NA,"Education and training: Total",24810,18,"Education and training (adults only)","18/19"
"South East Midlands","LSIP",201819,NA,"Further education and skills: Total",39820,18,"Total FE and skills provision","18/19"
"South Yorkshire","LSIP",201819,NA,"Apprenticeships: Total",5220,18,"Apprenticeships (all ages)","18/19"
"South Yorkshire","LSIP",201819,NA,"Community learning: Total",8420,18,"Community learning (adults only)","18/19"
"South Yorkshire","LSIP",201819,NA,"Education and training: Total",26350,18,"Education and training (adults only)","18/19"
"South Yorkshire","LSIP",201819,NA,"Further education and skills: Total",39740,18,"Total FE and skills provision","18/19"
"Stoke-on-Trent and Staffordshire","LSIP",201819,NA,"Apprenticeships: Total",4620,18,"Apprenticeships (all ages)","18/19"
"Stoke-on-Trent and Staffordshire","LSIP",201819,NA,"Community learning: Total",7490,18,"Community learning (adults only)","18/19"
"Stoke-on-Trent and Staffordshire","LSIP",201819,NA,"Education and training: Total",15420,18,"Education and training (adults only)","18/19"
"Stoke-on-Trent and Staffordshire","LSIP",201819,NA,"Further education and skills: Total",26930,18,"Total FE and skills provision","18/19"
"Swindon and Wiltshire","LSIP",201819,NA,"Apprenticeships: Total",3290,18,"Apprenticeships (all ages)","18/19"
"Swindon and Wiltshire","LSIP",201819,NA,"Community learning: Total",1760,18,"Community learning (adults only)","18/19"
"Swindon and Wiltshire","LSIP",201819,NA,"Education and training: Total",6800,18,"Education and training (adults only)","18/19"
"Swindon and Wiltshire","LSIP",201819,NA,"Further education and skills: Total",12800,18,"Total FE and skills provision","18/19"
"Tees Valley","LSIP",201819,NA,"Apprenticeships: Total",3250,18,"Apprenticeships (all ages)","18/19"
"Tees Valley","LSIP",201819,NA,"Community learning: Total",6890,18,"Community learning (adults only)","18/19"
"Tees Valley","LSIP",201819,NA,"Education and training: Total",20600,18,"Education and training (adults only)","18/19"
"Tees Valley","LSIP",201819,NA,"Further education and skills: Total",28970,18,"Total FE and skills provision","18/19"
"Thames Valley Berkshire","LSIP",201819,NA,"Apprenticeships: Total",2270,18,"Apprenticeships (all ages)","18/19"
"Thames Valley Berkshire","LSIP",201819,NA,"Community learning: Total",8970,18,"Community learning (adults only)","18/19"
"Thames Valley Berkshire","LSIP",201819,NA,"Education and training: Total",8710,18,"Education and training (adults only)","18/19"
"Thames Valley Berkshire","LSIP",201819,NA,"Further education and skills: Total",19970,18,"Total FE and skills provision","18/19"
"The Marches","LSIP",201819,NA,"Apprenticeships: Total",3190,18,"Apprenticeships (all ages)","18/19"
"The Marches","LSIP",201819,NA,"Community learning: Total",3050,18,"Community learning (adults only)","18/19"
"The Marches","LSIP",201819,NA,"Education and training: Total",8280,18,"Education and training (adults only)","18/19"
"The Marches","LSIP",201819,NA,"Further education and skills: Total",15080,18,"Total FE and skills provision","18/19"
"West Midlands and Warwickshire","LSIP",201819,NA,"Apprenticeships: Total",12030,18,"Apprenticeships (all ages)","18/19"
"West Midlands and Warwickshire","LSIP",201819,NA,"Community learning: Total",19990,18,"Community learning (adults only)","18/19"
"West Midlands and Warwickshire","LSIP",201819,NA,"Education and training: Total",74260,18,"Education and training (adults only)","18/19"
"West Midlands and Warwickshire","LSIP",201819,NA,"Further education and skills: Total",104360,18,"Total FE and skills provision","18/19"
"West of England (inc North Somerset)","LSIP",201819,NA,"Apprenticeships: Total",3430,18,"Apprenticeships (all ages)","18/19"
"West of England (inc North Somerset)","LSIP",201819,NA,"Community learning: Total",3730,18,"Community learning (adults only)","18/19"
"West of England (inc North Somerset)","LSIP",201819,NA,"Education and training: Total",15610,18,"Education and training (adults only)","18/19"
"West of England (inc North Somerset)","LSIP",201819,NA,"Further education and skills: Total",22880,18,"Total FE and skills provision","18/19"
"West Yorkshire","LSIP",201819,NA,"Apprenticeships: Total",8300,18,"Apprenticeships (all ages)","18/19"
"West Yorkshire","LSIP",201819,NA,"Community learning: Total",17300,18,"Community learning (adults only)","18/19"
"West Yorkshire","LSIP",201819,NA,"Education and training: Total",42320,18,"Education and training (adults only)","18/19"
"West Yorkshire","LSIP",201819,NA,"Further education and skills: Total",67150,18,"Total FE and skills provision","18/19"
"Worcestershire","LSIP",201819,NA,"Apprenticeships: Total",1980,18,"Apprenticeships (all ages)","18/19"
"Worcestershire","LSIP",201819,NA,"Community learning: Total",3530,18,"Community learning (adults only)","18/19"
"Worcestershire","LSIP",201819,NA,"Education and training: Total",6350,18,"Education and training (adults only)","18/19"
"Worcestershire","LSIP",201819,NA,"Further education and skills: Total",11880,18,"Total FE and skills provision","18/19"
"York and North Yorkshire","LSIP",201819,NA,"Apprenticeships: Total",3860,18,"Apprenticeships (all ages)","18/19"
"York and North Yorkshire","LSIP",201819,NA,"Community learning: Total",5080,18,"Community learning (adults only)","18/19"
"York and North Yorkshire","LSIP",201819,NA,"Education and training: Total",9090,18,"Education and training (adults only)","18/19"
"York and North Yorkshire","LSIP",201819,NA,"Further education and skills: Total",17650,18,"Total FE and skills provision","18/19"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201920,NA,"Apprenticeships: Total",3330,19,"Apprenticeships (all ages)","19/20"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201920,NA,"Community learning: Total",7140,19,"Community learning (adults only)","19/20"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201920,NA,"Education and training: Total",14670,19,"Education and training (adults only)","19/20"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201920,NA,"Further education and skills: Total",26130,19,"Total FE and skills provision","19/20"
"Buckinghamshire ","LSIP",201920,NA,"Apprenticeships: Total",1000,19,"Apprenticeships (all ages)","19/20"
"Buckinghamshire ","LSIP",201920,NA,"Community learning: Total",3240,19,"Community learning (adults only)","19/20"
"Buckinghamshire ","LSIP",201920,NA,"Education and training: Total",3430,19,"Education and training (adults only)","19/20"
"Buckinghamshire ","LSIP",201920,NA,"Further education and skills: Total",7810,19,"Total FE and skills provision","19/20"
"Cambridgeshire and Peterborough","LSIP",201920,NA,"Apprenticeships: Total",1780,19,"Apprenticeships (all ages)","19/20"
"Cambridgeshire and Peterborough","LSIP",201920,NA,"Community learning: Total",1800,19,"Community learning (adults only)","19/20"
"Cambridgeshire and Peterborough","LSIP",201920,NA,"Education and training: Total",7230,19,"Education and training (adults only)","19/20"
"Cambridgeshire and Peterborough","LSIP",201920,NA,"Further education and skills: Total",11140,19,"Total FE and skills provision","19/20"
"Cheshire and Warrington","LSIP",201920,NA,"Apprenticeships: Total",2490,19,"Apprenticeships (all ages)","19/20"
"Cheshire and Warrington","LSIP",201920,NA,"Community learning: Total",4780,19,"Community learning (adults only)","19/20"
"Cheshire and Warrington","LSIP",201920,NA,"Education and training: Total",8030,19,"Education and training (adults only)","19/20"
"Cheshire and Warrington","LSIP",201920,NA,"Further education and skills: Total",15450,19,"Total FE and skills provision","19/20"
"Cornwall and the Isles of Scilly","LSIP",201920,NA,"Apprenticeships: Total",1760,19,"Apprenticeships (all ages)","19/20"
"Cornwall and the Isles of Scilly","LSIP",201920,NA,"Community learning: Total",3250,19,"Community learning (adults only)","19/20"
"Cornwall and the Isles of Scilly","LSIP",201920,NA,"Education and training: Total",6360,19,"Education and training (adults only)","19/20"
"Cornwall and the Isles of Scilly","LSIP",201920,NA,"Further education and skills: Total",11720,19,"Total FE and skills provision","19/20"
"Cumbria","LSIP",201920,NA,"Apprenticeships: Total",2040,19,"Apprenticeships (all ages)","19/20"
"Cumbria","LSIP",201920,NA,"Community learning: Total",2810,19,"Community learning (adults only)","19/20"
"Cumbria","LSIP",201920,NA,"Education and training: Total",4510,19,"Education and training (adults only)","19/20"
"Cumbria","LSIP",201920,NA,"Further education and skills: Total",9410,19,"Total FE and skills provision","19/20"
"Derbyshire and Nottinghamshire","LSIP",201920,NA,"Apprenticeships: Total",6620,19,"Apprenticeships (all ages)","19/20"
"Derbyshire and Nottinghamshire","LSIP",201920,NA,"Community learning: Total",11880,19,"Community learning (adults only)","19/20"
"Derbyshire and Nottinghamshire","LSIP",201920,NA,"Education and training: Total",26940,19,"Education and training (adults only)","19/20"
"Derbyshire and Nottinghamshire","LSIP",201920,NA,"Further education and skills: Total",45810,19,"Total FE and skills provision","19/20"
"Dorset","LSIP",201920,NA,"Apprenticeships: Total",4720,19,"Apprenticeships (all ages)","19/20"
"Dorset","LSIP",201920,NA,"Community learning: Total",6500,19,"Community learning (adults only)","19/20"
"Dorset","LSIP",201920,NA,"Education and training: Total",11890,19,"Education and training (adults only)","19/20"
"Dorset","LSIP",201920,NA,"Further education and skills: Total",24100,19,"Total FE and skills provision","19/20"
"Enterprise M3 LEP (including all of Surrey)","LSIP",201920,NA,"Apprenticeships: Total",1880,19,"Apprenticeships (all ages)","19/20"
"Enterprise M3 LEP (including all of Surrey)","LSIP",201920,NA,"Community learning: Total",9060,19,"Community learning (adults only)","19/20"
"Enterprise M3 LEP (including all of Surrey)","LSIP",201920,NA,"Education and training: Total",6680,19,"Education and training (adults only)","19/20"
"Enterprise M3 LEP (including all of Surrey)","LSIP",201920,NA,"Further education and skills: Total",17820,19,"Total FE and skills provision","19/20"
"Essex, Southend-on-Sea and Thurrock","LSIP",201920,NA,"Apprenticeships: Total",4330,19,"Apprenticeships (all ages)","19/20"
"Essex, Southend-on-Sea and Thurrock","LSIP",201920,NA,"Community learning: Total",10650,19,"Community learning (adults only)","19/20"
"Essex, Southend-on-Sea and Thurrock","LSIP",201920,NA,"Education and training: Total",14990,19,"Education and training (adults only)","19/20"
"Essex, Southend-on-Sea and Thurrock","LSIP",201920,NA,"Further education and skills: Total",29810,19,"Total FE and skills provision","19/20"
"Gloucestershire","LSIP",201920,NA,"Apprenticeships: Total",1650,19,"Apprenticeships (all ages)","19/20"
"Gloucestershire","LSIP",201920,NA,"Community learning: Total",2930,19,"Community learning (adults only)","19/20"
"Gloucestershire","LSIP",201920,NA,"Education and training: Total",4990,19,"Education and training (adults only)","19/20"
"Gloucestershire","LSIP",201920,NA,"Further education and skills: Total",9970,19,"Total FE and skills provision","19/20"
"Greater Lincolnshire","LSIP",201920,NA,"Apprenticeships: Total",3280,19,"Apprenticeships (all ages)","19/20"
"Greater Lincolnshire","LSIP",201920,NA,"Community learning: Total",7380,19,"Community learning (adults only)","19/20"
"Greater Lincolnshire","LSIP",201920,NA,"Education and training: Total",13910,19,"Education and training (adults only)","19/20"
"Greater Lincolnshire","LSIP",201920,NA,"Further education and skills: Total",24570,19,"Total FE and skills provision","19/20"
"Greater London","LSIP",201920,NA,"Apprenticeships: Total",12850,19,"Apprenticeships (all ages)","19/20"
"Greater London","LSIP",201920,NA,"Community learning: Total",73260,19,"Community learning (adults only)","19/20"
"Greater London","LSIP",201920,NA,"Education and training: Total",134590,19,"Education and training (adults only)","19/20"
"Greater London","LSIP",201920,NA,"Further education and skills: Total",217030,19,"Total FE and skills provision","19/20"
"Greater Manchester","LSIP",201920,NA,"Apprenticeships: Total",8170,19,"Apprenticeships (all ages)","19/20"
"Greater Manchester","LSIP",201920,NA,"Community learning: Total",15400,19,"Community learning (adults only)","19/20"
"Greater Manchester","LSIP",201920,NA,"Education and training: Total",39610,19,"Education and training (adults only)","19/20"
"Greater Manchester","LSIP",201920,NA,"Further education and skills: Total",60290,19,"Total FE and skills provision","19/20"
"Heart of the South-West","LSIP",201920,NA,"Apprenticeships: Total",5810,19,"Apprenticeships (all ages)","19/20"
"Heart of the South-West","LSIP",201920,NA,"Community learning: Total",10580,19,"Community learning (adults only)","19/20"
"Heart of the South-West","LSIP",201920,NA,"Education and training: Total",19700,19,"Education and training (adults only)","19/20"
"Heart of the South-West","LSIP",201920,NA,"Further education and skills: Total",37120,19,"Total FE and skills provision","19/20"
"Hertfordshire","LSIP",201920,NA,"Apprenticeships: Total",2230,19,"Apprenticeships (all ages)","19/20"
"Hertfordshire","LSIP",201920,NA,"Community learning: Total",4920,19,"Community learning (adults only)","19/20"
"Hertfordshire","LSIP",201920,NA,"Education and training: Total",7800,19,"Education and training (adults only)","19/20"
"Hertfordshire","LSIP",201920,NA,"Further education and skills: Total",15240,19,"Total FE and skills provision","19/20"
"Hull and East Yorkshire","LSIP",201920,NA,"Apprenticeships: Total",2840,19,"Apprenticeships (all ages)","19/20"
"Hull and East Yorkshire","LSIP",201920,NA,"Community learning: Total",2130,19,"Community learning (adults only)","19/20"
"Hull and East Yorkshire","LSIP",201920,NA,"Education and training: Total",8340,19,"Education and training (adults only)","19/20"
"Hull and East Yorkshire","LSIP",201920,NA,"Further education and skills: Total",13520,19,"Total FE and skills provision","19/20"
"Kent and Medway","LSIP",201920,NA,"Apprenticeships: Total",4290,19,"Apprenticeships (all ages)","19/20"
"Kent and Medway","LSIP",201920,NA,"Community learning: Total",12350,19,"Community learning (adults only)","19/20"
"Kent and Medway","LSIP",201920,NA,"Education and training: Total",15610,19,"Education and training (adults only)","19/20"
"Kent and Medway","LSIP",201920,NA,"Further education and skills: Total",33520,19,"Total FE and skills provision","19/20"
"Lancashire","LSIP",201920,NA,"Apprenticeships: Total",4850,19,"Apprenticeships (all ages)","19/20"
"Lancashire","LSIP",201920,NA,"Community learning: Total",14100,19,"Community learning (adults only)","19/20"
"Lancashire","LSIP",201920,NA,"Education and training: Total",20050,19,"Education and training (adults only)","19/20"
"Lancashire","LSIP",201920,NA,"Further education and skills: Total",38270,19,"Total FE and skills provision","19/20"
"Leicester and Leicestershire","LSIP",201920,NA,"Apprenticeships: Total",2840,19,"Apprenticeships (all ages)","19/20"
"Leicester and Leicestershire","LSIP",201920,NA,"Community learning: Total",6120,19,"Community learning (adults only)","19/20"
"Leicester and Leicestershire","LSIP",201920,NA,"Education and training: Total",14400,19,"Education and training (adults only)","19/20"
"Leicester and Leicestershire","LSIP",201920,NA,"Further education and skills: Total",23560,19,"Total FE and skills provision","19/20"
"Liverpool City Region","LSIP",201920,NA,"Apprenticeships: Total",4710,19,"Apprenticeships (all ages)","19/20"
"Liverpool City Region","LSIP",201920,NA,"Community learning: Total",13260,19,"Community learning (adults only)","19/20"
"Liverpool City Region","LSIP",201920,NA,"Education and training: Total",23060,19,"Education and training (adults only)","19/20"
"Liverpool City Region","LSIP",201920,NA,"Further education and skills: Total",38660,19,"Total FE and skills provision","19/20"
"Norfolk and Suffolk (Greater Anglia)","LSIP",201920,NA,"Apprenticeships: Total",4260,19,"Apprenticeships (all ages)","19/20"
"Norfolk and Suffolk (Greater Anglia)","LSIP",201920,NA,"Community learning: Total",7030,19,"Community learning (adults only)","19/20"
"Norfolk and Suffolk (Greater Anglia)","LSIP",201920,NA,"Education and training: Total",12590,19,"Education and training (adults only)","19/20"
"Norfolk and Suffolk (Greater Anglia)","LSIP",201920,NA,"Further education and skills: Total",24640,19,"Total FE and skills provision","19/20"
"North East","LSIP",201920,NA,"Apprenticeships: Total",4350,19,"Apprenticeships (all ages)","19/20"
"North East","LSIP",201920,NA,"Community learning: Total",8100,19,"Community learning (adults only)","19/20"
"North East","LSIP",201920,NA,"Education and training: Total",24780,19,"Education and training (adults only)","19/20"
"North East","LSIP",201920,NA,"Further education and skills: Total",36370,19,"Total FE and skills provision","19/20"
"North of Tyne","LSIP",201920,NA,"Apprenticeships: Total",2540,19,"Apprenticeships (all ages)","19/20"
"North of Tyne","LSIP",201920,NA,"Community learning: Total",3510,19,"Community learning (adults only)","19/20"
"North of Tyne","LSIP",201920,NA,"Education and training: Total",13350,19,"Education and training (adults only)","19/20"
"North of Tyne","LSIP",201920,NA,"Further education and skills: Total",18820,19,"Total FE and skills provision","19/20"
"Oxfordshire","LSIP",201920,NA,"Apprenticeships: Total",1320,19,"Apprenticeships (all ages)","19/20"
"Oxfordshire","LSIP",201920,NA,"Community learning: Total",3510,19,"Community learning (adults only)","19/20"
"Oxfordshire","LSIP",201920,NA,"Education and training: Total",4820,19,"Education and training (adults only)","19/20"
"Oxfordshire","LSIP",201920,NA,"Further education and skills: Total",9680,19,"Total FE and skills provision","19/20"
"Solent","LSIP",201920,NA,"Apprenticeships: Total",4580,19,"Apprenticeships (all ages)","19/20"
"Solent","LSIP",201920,NA,"Community learning: Total",6050,19,"Community learning (adults only)","19/20"
"Solent","LSIP",201920,NA,"Education and training: Total",12540,19,"Education and training (adults only)","19/20"
"Solent","LSIP",201920,NA,"Further education and skills: Total",24530,19,"Total FE and skills provision","19/20"
"South East Midlands","LSIP",201920,NA,"Apprenticeships: Total",4260,19,"Apprenticeships (all ages)","19/20"
"South East Midlands","LSIP",201920,NA,"Community learning: Total",7300,19,"Community learning (adults only)","19/20"
"South East Midlands","LSIP",201920,NA,"Education and training: Total",20310,19,"Education and training (adults only)","19/20"
"South East Midlands","LSIP",201920,NA,"Further education and skills: Total",32530,19,"Total FE and skills provision","19/20"
"South Yorkshire","LSIP",201920,NA,"Apprenticeships: Total",3900,19,"Apprenticeships (all ages)","19/20"
"South Yorkshire","LSIP",201920,NA,"Community learning: Total",7220,19,"Community learning (adults only)","19/20"
"South Yorkshire","LSIP",201920,NA,"Education and training: Total",19330,19,"Education and training (adults only)","19/20"
"South Yorkshire","LSIP",201920,NA,"Further education and skills: Total",30960,19,"Total FE and skills provision","19/20"
"Stoke-on-Trent and Staffordshire","LSIP",201920,NA,"Apprenticeships: Total",3480,19,"Apprenticeships (all ages)","19/20"
"Stoke-on-Trent and Staffordshire","LSIP",201920,NA,"Community learning: Total",5380,19,"Community learning (adults only)","19/20"
"Stoke-on-Trent and Staffordshire","LSIP",201920,NA,"Education and training: Total",11340,19,"Education and training (adults only)","19/20"
"Stoke-on-Trent and Staffordshire","LSIP",201920,NA,"Further education and skills: Total",20060,19,"Total FE and skills provision","19/20"
"Swindon and Wiltshire","LSIP",201920,NA,"Apprenticeships: Total",2860,19,"Apprenticeships (all ages)","19/20"
"Swindon and Wiltshire","LSIP",201920,NA,"Community learning: Total",1220,19,"Community learning (adults only)","19/20"
"Swindon and Wiltshire","LSIP",201920,NA,"Education and training: Total",6630,19,"Education and training (adults only)","19/20"
"Swindon and Wiltshire","LSIP",201920,NA,"Further education and skills: Total",11690,19,"Total FE and skills provision","19/20"
"Tees Valley","LSIP",201920,NA,"Apprenticeships: Total",2390,19,"Apprenticeships (all ages)","19/20"
"Tees Valley","LSIP",201920,NA,"Community learning: Total",4700,19,"Community learning (adults only)","19/20"
"Tees Valley","LSIP",201920,NA,"Education and training: Total",14980,19,"Education and training (adults only)","19/20"
"Tees Valley","LSIP",201920,NA,"Further education and skills: Total",21530,19,"Total FE and skills provision","19/20"
"Thames Valley Berkshire","LSIP",201920,NA,"Apprenticeships: Total",2010,19,"Apprenticeships (all ages)","19/20"
"Thames Valley Berkshire","LSIP",201920,NA,"Community learning: Total",6600,19,"Community learning (adults only)","19/20"
"Thames Valley Berkshire","LSIP",201920,NA,"Education and training: Total",7340,19,"Education and training (adults only)","19/20"
"Thames Valley Berkshire","LSIP",201920,NA,"Further education and skills: Total",15950,19,"Total FE and skills provision","19/20"
"The Marches","LSIP",201920,NA,"Apprenticeships: Total",2590,19,"Apprenticeships (all ages)","19/20"
"The Marches","LSIP",201920,NA,"Community learning: Total",2470,19,"Community learning (adults only)","19/20"
"The Marches","LSIP",201920,NA,"Education and training: Total",6230,19,"Education and training (adults only)","19/20"
"The Marches","LSIP",201920,NA,"Further education and skills: Total",11920,19,"Total FE and skills provision","19/20"
"West Midlands and Warwickshire","LSIP",201920,NA,"Apprenticeships: Total",9440,19,"Apprenticeships (all ages)","19/20"
"West Midlands and Warwickshire","LSIP",201920,NA,"Community learning: Total",14600,19,"Community learning (adults only)","19/20"
"West Midlands and Warwickshire","LSIP",201920,NA,"Education and training: Total",53820,19,"Education and training (adults only)","19/20"
"West Midlands and Warwickshire","LSIP",201920,NA,"Further education and skills: Total",77870,19,"Total FE and skills provision","19/20"
"West of England (inc North Somerset)","LSIP",201920,NA,"Apprenticeships: Total",2860,19,"Apprenticeships (all ages)","19/20"
"West of England (inc North Somerset)","LSIP",201920,NA,"Community learning: Total",3500,19,"Community learning (adults only)","19/20"
"West of England (inc North Somerset)","LSIP",201920,NA,"Education and training: Total",10560,19,"Education and training (adults only)","19/20"
"West of England (inc North Somerset)","LSIP",201920,NA,"Further education and skills: Total",17520,19,"Total FE and skills provision","19/20"
"West Yorkshire","LSIP",201920,NA,"Apprenticeships: Total",6660,19,"Apprenticeships (all ages)","19/20"
"West Yorkshire","LSIP",201920,NA,"Community learning: Total",14160,19,"Community learning (adults only)","19/20"
"West Yorkshire","LSIP",201920,NA,"Education and training: Total",34750,19,"Education and training (adults only)","19/20"
"West Yorkshire","LSIP",201920,NA,"Further education and skills: Total",55800,19,"Total FE and skills provision","19/20"
"Worcestershire","LSIP",201920,NA,"Apprenticeships: Total",1640,19,"Apprenticeships (all ages)","19/20"
"Worcestershire","LSIP",201920,NA,"Community learning: Total",2250,19,"Community learning (adults only)","19/20"
"Worcestershire","LSIP",201920,NA,"Education and training: Total",4360,19,"Education and training (adults only)","19/20"
"Worcestershire","LSIP",201920,NA,"Further education and skills: Total",8530,19,"Total FE and skills provision","19/20"
"York and North Yorkshire","LSIP",201920,NA,"Apprenticeships: Total",3270,19,"Apprenticeships (all ages)","19/20"
"York and North Yorkshire","LSIP",201920,NA,"Community learning: Total",5320,19,"Community learning (adults only)","19/20"
"York and North Yorkshire","LSIP",201920,NA,"Education and training: Total",8210,19,"Education and training (adults only)","19/20"
"York and North Yorkshire","LSIP",201920,NA,"Further education and skills: Total",16590,19,"Total FE and skills provision","19/20"
"Brighton and Hove, East Sussex, West Sussex","LSIP",202021,NA,"Apprenticeships: Total",3840,20,"Apprenticeships (all ages)","20/21"
"Brighton and Hove, East Sussex, West Sussex","LSIP",202021,NA,"Community learning: Total",3950,20,"Community learning (adults only)","20/21"
"Brighton and Hove, East Sussex, West Sussex","LSIP",202021,NA,"Education and training: Total",15140,20,"Education and training (adults only)","20/21"
"Brighton and Hove, East Sussex, West Sussex","LSIP",202021,NA,"Further education and skills: Total",23380,20,"Total FE and skills provision","20/21"
"Buckinghamshire ","LSIP",202021,NA,"Apprenticeships: Total",1140,20,"Apprenticeships (all ages)","20/21"
"Buckinghamshire ","LSIP",202021,NA,"Community learning: Total",2140,20,"Community learning (adults only)","20/21"
"Buckinghamshire ","LSIP",202021,NA,"Education and training: Total",3880,20,"Education and training (adults only)","20/21"
"Buckinghamshire ","LSIP",202021,NA,"Further education and skills: Total",7200,20,"Total FE and skills provision","20/21"
"Cambridgeshire and Peterborough","LSIP",202021,NA,"Apprenticeships: Total",2090,20,"Apprenticeships (all ages)","20/21"
"Cambridgeshire and Peterborough","LSIP",202021,NA,"Community learning: Total",2870,20,"Community learning (adults only)","20/21"
"Cambridgeshire and Peterborough","LSIP",202021,NA,"Education and training: Total",6710,20,"Education and training (adults only)","20/21"
"Cambridgeshire and Peterborough","LSIP",202021,NA,"Further education and skills: Total",11540,20,"Total FE and skills provision","20/21"
"Cheshire and Warrington","LSIP",202021,NA,"Apprenticeships: Total",2600,20,"Apprenticeships (all ages)","20/21"
"Cheshire and Warrington","LSIP",202021,NA,"Community learning: Total",2470,20,"Community learning (adults only)","20/21"
"Cheshire and Warrington","LSIP",202021,NA,"Education and training: Total",8210,20,"Education and training (adults only)","20/21"
"Cheshire and Warrington","LSIP",202021,NA,"Further education and skills: Total",13150,20,"Total FE and skills provision","20/21"
"Cornwall and the Isles of Scilly","LSIP",202021,NA,"Apprenticeships: Total",1720,20,"Apprenticeships (all ages)","20/21"
"Cornwall and the Isles of Scilly","LSIP",202021,NA,"Community learning: Total",1940,20,"Community learning (adults only)","20/21"
"Cornwall and the Isles of Scilly","LSIP",202021,NA,"Education and training: Total",6340,20,"Education and training (adults only)","20/21"
"Cornwall and the Isles of Scilly","LSIP",202021,NA,"Further education and skills: Total",10150,20,"Total FE and skills provision","20/21"
"Cumbria","LSIP",202021,NA,"Apprenticeships: Total",1880,20,"Apprenticeships (all ages)","20/21"
"Cumbria","LSIP",202021,NA,"Community learning: Total",1240,20,"Community learning (adults only)","20/21"
"Cumbria","LSIP",202021,NA,"Education and training: Total",4930,20,"Education and training (adults only)","20/21"
"Cumbria","LSIP",202021,NA,"Further education and skills: Total",7970,20,"Total FE and skills provision","20/21"
"Derbyshire and Nottinghamshire","LSIP",202021,NA,"Apprenticeships: Total",6730,20,"Apprenticeships (all ages)","20/21"
"Derbyshire and Nottinghamshire","LSIP",202021,NA,"Community learning: Total",7380,20,"Community learning (adults only)","20/21"
"Derbyshire and Nottinghamshire","LSIP",202021,NA,"Education and training: Total",27310,20,"Education and training (adults only)","20/21"
"Derbyshire and Nottinghamshire","LSIP",202021,NA,"Further education and skills: Total",41150,20,"Total FE and skills provision","20/21"
"Dorset","LSIP",202021,NA,"Apprenticeships: Total",5190,20,"Apprenticeships (all ages)","20/21"
"Dorset","LSIP",202021,NA,"Community learning: Total",4110,20,"Community learning (adults only)","20/21"
"Dorset","LSIP",202021,NA,"Education and training: Total",12970,20,"Education and training (adults only)","20/21"
"Dorset","LSIP",202021,NA,"Further education and skills: Total",22830,20,"Total FE and skills provision","20/21"
