"area","geographic_level","time_period","age_group","level_or_type","achievements","Year","level_or_typeNeat","AY"
"Hertfordshire","LEP",201718,NA,"Apprenticeships: Total",3510,17,"Apprenticeships (all ages)","17/18"
"Hertfordshire","LEP",201718,NA,"Community learning: Total",5920,17,"Community learning (adults only)","17/18"
"Hertfordshire","LEP",201718,NA,"Education and training: Total",9330,17,"Education and training (adults only)","17/18"
"Hertfordshire","LEP",201718,NA,"Further education and skills: Total",18700,17,"Total FE and skills provision","17/18"
"Hull and East Yorkshire","LEP",201718,NA,"Apprenticeships: Total",4880,17,"Apprenticeships (all ages)","17/18"
"Hull and East Yorkshire","LEP",201718,NA,"Community learning: Total",3160,17,"Community learning (adults only)","17/18"
"Hull and East Yorkshire","LEP",201718,NA,"Education and training: Total",13080,17,"Education and training (adults only)","17/18"
"Hull and East Yorkshire","LEP",201718,NA,"Further education and skills: Total",21100,17,"Total FE and skills provision","17/18"
"Lancashire","LEP",201718,NA,"Apprenticeships: Total",10020,17,"Apprenticeships (all ages)","17/18"
"Lancashire","LEP",201718,NA,"Community learning: Total",18780,17,"Community learning (adults only)","17/18"
"Lancashire","LEP",201718,NA,"Education and training: Total",29800,17,"Education and training (adults only)","17/18"
"Lancashire","LEP",201718,NA,"Further education and skills: Total",56740,17,"Total FE and skills provision","17/18"
"Leeds City Region","LEP",201718,NA,"Apprenticeships: Total",12950,17,"Apprenticeships (all ages)","17/18"
"Leeds City Region","LEP",201718,NA,"Community learning: Total",16730,17,"Community learning (adults only)","17/18"
"Leeds City Region","LEP",201718,NA,"Education and training: Total",42150,17,"Education and training (adults only)","17/18"
"Leeds City Region","LEP",201718,NA,"Further education and skills: Total",70780,17,"Total FE and skills provision","17/18"
"Leicester and Leicestershire","LEP",201718,NA,"Apprenticeships: Total",5270,17,"Apprenticeships (all ages)","17/18"
"Leicester and Leicestershire","LEP",201718,NA,"Community learning: Total",6660,17,"Community learning (adults only)","17/18"
"Leicester and Leicestershire","LEP",201718,NA,"Education and training: Total",16560,17,"Education and training (adults only)","17/18"
"Leicester and Leicestershire","LEP",201718,NA,"Further education and skills: Total",28000,17,"Total FE and skills provision","17/18"
"Liverpool City Region","LEP",201718,NA,"Apprenticeships: Total",10070,17,"Apprenticeships (all ages)","17/18"
"Liverpool City Region","LEP",201718,NA,"Community learning: Total",19410,17,"Community learning (adults only)","17/18"
"Liverpool City Region","LEP",201718,NA,"Education and training: Total",33690,17,"Education and training (adults only)","17/18"
"Liverpool City Region","LEP",201718,NA,"Further education and skills: Total",60190,17,"Total FE and skills provision","17/18"
"London","LEP",201718,NA,"Apprenticeships: Total",23980,17,"Apprenticeships (all ages)","17/18"
"London","LEP",201718,NA,"Community learning: Total",98080,17,"Community learning (adults only)","17/18"
"London","LEP",201718,NA,"Education and training: Total",172420,17,"Education and training (adults only)","17/18"
"London","LEP",201718,NA,"Further education and skills: Total",285360,17,"Total FE and skills provision","17/18"
"New Anglia","LEP",201718,NA,"Apprenticeships: Total",7250,17,"Apprenticeships (all ages)","17/18"
"New Anglia","LEP",201718,NA,"Community learning: Total",8320,17,"Community learning (adults only)","17/18"
"New Anglia","LEP",201718,NA,"Education and training: Total",17490,17,"Education and training (adults only)","17/18"
"New Anglia","LEP",201718,NA,"Further education and skills: Total",32180,17,"Total FE and skills provision","17/18"
"North East","LEP",201718,NA,"Apprenticeships: Total",14430,17,"Apprenticeships (all ages)","17/18"
"North East","LEP",201718,NA,"Community learning: Total",14010,17,"Community learning (adults only)","17/18"
"North East","LEP",201718,NA,"Education and training: Total",50060,17,"Education and training (adults only)","17/18"
