"subgroup","metric","breakdown","geogConcat","chartPeriod","value","timePeriod","latest","valueText"
"Science, research, engineering and technology professionals","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,7.58320036572846,2035-01-01,1,"7.5832003657284588"
"Health professionals","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,0.00118254587371247,2035-01-01,1,"1.1825458737124706E-3"
"Teaching and other educational professionals","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,0.321752803314048,2035-01-01,1,"0.32175280331404821"
"Business, media and public service professionals","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,3.12645531308804,2035-01-01,1,"3.1264553130880444"
"Science, engineering and technology associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,0.080979039790801,2035-01-01,1,"8.0979039790801011E-2"
"Health and social care associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,3.51582354583822,2035-01-01,1,"3.5158235458382165"
"Protective service occupations","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,-0.23257867857784,2035-01-01,1,"-0.23257867857784031"
"Culture, media and sports occupations","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,-0.238649247936757,2035-01-01,1,"-0.23864924793675701"
"Business and public service associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,1.34878376664403,2035-01-01,1,"1.3487837666440292"
"Administrative occupations","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,-0.449066823052632,2035-01-01,1,"-0.44906682305263246"
"Secretarial and related occupations","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,-1.85755879285083,2035-01-01,1,"-1.8575587928508321"
"Skilled agricultural and related trades","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,0.427630846997362,2035-01-01,1,"0.4276308469973622"
"Skilled metal, electrical and electronic trades","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,-0.125423219206901,2035-01-01,1,"-0.12542321920690114"
"Skilled construction and building trades","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,-0.413516472723627,2035-01-01,1,"-0.4135164727236269"
"Textiles, printing and other skilled trades","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,0.688394634972815,2035-01-01,1,"0.6883946349728145"
"Caring personal service occupations","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,1.85822975950646,2035-01-01,1,"1.8582297595064645"
"Leisure, travel and related personal service occupations","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,-0.342090159967776,2035-01-01,1,"-0.3420901599677757"
"Community and civil enforcement occupations","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,-0.0598412615023197,2035-01-01,1,"-5.9841261502319693E-2"
"Sales occupations","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,-0.770698882783122,2035-01-01,1,"-0.77069888278312249"
"Customer service occupations","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,1.06688051298289,2035-01-01,1,"1.0668805129828867"
"Process, plant and machine operatives","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,0.015509509369787,2035-01-01,1,"1.5509509369787011E-2"
"Transport and mobile machine drivers and operatives","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,0.0301602745984635,2035-01-01,1,"3.0160274598463488E-2"
"Elementary trades and related occupations","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,3.36103001202633,2035-01-01,1,"3.3610300120263319"
"Elementary administration and service occupations","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,-4.29644142528948,2035-01-01,1,"-4.2964414252894798"
"All occupations","wfReplacement","Total","Buckinghamshire LEP",2035,16.1279999999996,2035-01-01,1,"16.127999999999645"
"Elementary occupations","wfReplacement","Occupation (SOC2020 major)","Buckinghamshire LSIP",2035,-0.935411413263147,2035-01-01,1,"-0.93541141326314658"
