"area","geographic_level","time_period","cohort_level_group","all_unknown","all_notsust","cohort","appren","education","all_work"
"Leicester and Leicestershire","LEP",201920,"Total","273","611","4107","300","2058","865"
"Liverpool City Region","LEP",201718,"All other qualifications","252","567","1900","337","346","398"
"Liverpool City Region","LEP",201718,"Level 2","145","482","2468","384","763","694"
"Liverpool City Region","LEP",201718,"Level 3","406","847","10522","741","6337","2191"
"Liverpool City Region","LEP",201718,"Total","803","1896","14890","1462","7446","3283"
"Liverpool City Region","LEP",201819,"All other qualifications","214","635","1948","322","308","469"
"Liverpool City Region","LEP",201819,"Level 2","147","621","2849","437","869","775"
"Liverpool City Region","LEP",201819,"Level 3","268","844","9177","589","5638","1838"
"Liverpool City Region","LEP",201819,"Total","629","2100","13974","1348","6815","3082"
"Liverpool City Region","LEP",201920,"All other qualifications","235","697","2237","339","423","543"
"Liverpool City Region","LEP",201920,"Level 2","134","569","2576","361","781","731"
"Liverpool City Region","LEP",201920,"Level 3","331","867","9350","592","5608","1952"
"Liverpool City Region","LEP",201920,"Total","700","2133","14163","1292","6812","3226"
"London","LEP",201718,"All other qualifications","2211","2865","10482","874","2488","2044"
"London","LEP",201718,"Level 2","924","1597","8299","859","3006","1913"
"London","LEP",201718,"Level 3","2829","4625","57019","2226","38740","8599"
"London","LEP",201718,"Total","5964","9087","75800","3959","44234","12556"
"London","LEP",201819,"All other qualifications","2046","2973","10507","794","2550","2144"
"London","LEP",201819,"Level 2","1029","2162","11536","888","4953","2504"
"London","LEP",201819,"Level 3","2644","4432","55356","1990","37756","8534"
"London","LEP",201819,"Total","5719","9567","77399","3672","45259","13182"
"London","LEP",201920,"All other qualifications","1880","3189","10685","711","2762","2143"
"London","LEP",201920,"Level 2","793","1784","7938","681","2923","1757"
"London","LEP",201920,"Level 3","2689","4769","58297","1754","40106","8979"
"London","LEP",201920,"Total","5362","9742","76920","3146","45791","12879"
"North East","LEP",201718,"All other qualifications","531","1260","3589","686","431","681"
"North East","LEP",201718,"Level 2","194","633","2716","548","554","787"
"North East","LEP",201718,"Level 3","471","1128","12635","1450","7227","2359"
"North East","LEP",201718,"Total","1196","3021","18940","2684","8212","3827"
"North East","LEP",201819,"All other qualifications","513","1319","3825","615","613","765"
"North East","LEP",201819,"Level 2","217","1072","4235","678","1127","1141"
"North East","LEP",201819,"Level 3","338","995","11417","1209","6708","2167"
"North East","LEP",201819,"Total","1068","3386","19477","2502","8448","4073"
"North East","LEP",201920,"All other qualifications","449","1333","3758","580","614","782"
"North East","LEP",201920,"Level 2","170","915","3414","601","861","867"
"North East","LEP",201920,"Level 3","374","1282","12387","1187","7167","2377"
"North East","LEP",201920,"Total","993","3530","19559","2368","8642","4026"
"Sheffield City Region","LEP",201718,"All other qualifications","292","621","2095","386","310","486"
"Sheffield City Region","LEP",201718,"Level 2","165","482","2376","420","525","784"
"Sheffield City Region","LEP",201718,"Level 3","325","705","8349","754","4676","1889"
"Sheffield City Region","LEP",201718,"Total","782","1808","12820","1560","5511","3159"
"Sheffield City Region","LEP",201819,"All other qualifications","246","665","2123","332","330","550"
"Sheffield City Region","LEP",201819,"Level 2","156","691","3128","427","758","1096"
"Sheffield City Region","LEP",201819,"Level 3","186","630","7449","655","4325","1653"
"Sheffield City Region","LEP",201819,"Total","588","1986","12700","1414","5413","3299"
"Sheffield City Region","LEP",201920,"All other qualifications","242","704","2241","358","383","554"
"Sheffield City Region","LEP",201920,"Level 2","119","500","2029","354","435","621"
"Sheffield City Region","LEP",201920,"Level 3","215","699","7856","593","4709","1640"
"Sheffield City Region","LEP",201920,"Total","576","1903","12126","1305","5527","2815"
"Solent","LEP",201718,"All other qualifications","119","262","831","124","129","197"
"Solent","LEP",201718,"Level 2","77","184","927","156","156","354"
"Solent","LEP",201718,"Level 3","112","265","2646","229","1241","799"
"Solent","LEP",201718,"Total","308","711","4404","509","1526","1350"
"Solent","LEP",201819,"All other qualifications","116","273","829","106","108","226"
"Solent","LEP",201819,"Level 2","84","230","1118","152","236","416"
"Solent","LEP",201819,"Level 3","143","225","2505","157","1238","742"
"Solent","LEP",201819,"Total","343","728","4452","415","1582","1384"
"Solent","LEP",201920,"All other qualifications","117","287","904","123","160","217"
"Solent","LEP",201920,"Level 2","63","209","904","162","183","287"
"Solent","LEP",201920,"Level 3","130","282","2537","188","1162","775"
"Solent","LEP",201920,"Total","310","778","4345","473","1505","1279"
"South East","LEP",201718,"All other qualifications","225","430","1366","220","94","397"
"South East","LEP",201718,"Level 2","124","326","1364","227","153","534"
"South East","LEP",201718,"Level 3","260","552","5979","482","2919","1766"
"South East","LEP",201718,"Total","609","1308","8709","929","3166","2697"
"South East","LEP",201819,"All other qualifications","192","416","1309","186","142","373"
"South East","LEP",201819,"Level 2","153","397","1829","205","418","656"
"South East","LEP",201819,"Level 3","147","399","4117","344","2163","1064"
"South East","LEP",201819,"Total","492","1212","7255","735","2723","2093"
"South East","LEP",201920,"All other qualifications","192","384","1262","162","139","385"
"South East","LEP",201920,"Level 2","133","348","1532","217","346","488"
"South East","LEP",201920,"Level 3","152","384","4287","314","2288","1149"
"South East","LEP",201920,"Total","477","1116","7081","693","2773","2022"
"South East Midlands","LEP",201718,"All other qualifications","183","309","1301","172","267","370"
"South East Midlands","LEP",201718,"Level 2","85","220","1451","170","483","493"
"South East Midlands","LEP",201718,"Level 3","238","477","6940","520","3992","1713"
"South East Midlands","LEP",201718,"Total","506","1006","9692","862","4742","2576"
"South East Midlands","LEP",201819,"All other qualifications","163","382","1508","179","312","472"
"South East Midlands","LEP",201819,"Level 2","89","281","1828","187","654","617"
"South East Midlands","LEP",201819,"Level 3","228","502","6580","450","3755","1645"
"South East Midlands","LEP",201819,"Total","480","1165","9916","816","4721","2734"
"South East Midlands","LEP",201920,"All other qualifications","167","429","1513","150","315","452"
"South East Midlands","LEP",201920,"Level 2","111","333","1866","157","632","633"
"South East Midlands","LEP",201920,"Level 3","216","599","7038","391","4029","1803"
"South East Midlands","LEP",201920,"Total","494","1361","10417","698","4976","2888"
"Stoke-on-Trent and Staffordshire","LEP",201718,"All other qualifications","56","159","429","38","79","97"
"Stoke-on-Trent and Staffordshire","LEP",201718,"Level 2","14","51","333","65","99","104"
"Stoke-on-Trent and Staffordshire","LEP",201718,"Level 3","32","96","1173","91","706","248"
"Stoke-on-Trent and Staffordshire","LEP",201718,"Total","102","306","1935","194","884","449"
