"area","geographic_level","year","Year","jobpc","jobcnt"
"North East","LEP",2019,19,0.0228094381473008,130.6
"North East","LEP",2020,20,0.0222081218274112,108.5
"North East","LEP",2021,21,0.0275252525252525,109
"North East","LEP",2022,22,0.0292585826084585,214.6
"North East","LSIP",2017,17,0.0105972000708843,59.8
"North East","LSIP",2018,18,0.0111790826941589,72
"North East","LSIP",2019,19,0.0108283703302653,62
"North East","LSIP",2020,20,0.0101727525790077,49.7
"North East","LSIP",2021,21,0.0140656565656566,55.7
"North East","LSIP",2022,22,0.0146974613475854,107.8
"North of Tyne","LSIP",2017,17,0.0155236576289208,87.6
"North of Tyne","LSIP",2018,18,0.0121106729186722,78
"North of Tyne","LSIP",2019,19,0.0119810678170355,68.6
"North of Tyne","LSIP",2020,20,0.0120353692484035,58.8
"North of Tyne","LSIP",2021,21,0.013459595959596,53.3
"North of Tyne","LSIP",2022,22,0.0145611212608731,106.8
"Oxfordshire","LEP",2017,17,0.0218855218855219,123.5
"Oxfordshire","LEP",2018,18,0.0196720802409713,126.7
"Oxfordshire","LEP",2019,19,0.0210978570305814,120.8
"Oxfordshire","LEP",2020,20,0.0240912068118552,117.7
"Oxfordshire","LEP",2021,21,0.0218434343434343,86.5
"Oxfordshire","LEP",2022,22,0.0216780737872549,159
"Oxfordshire","LSIP",2017,17,0.0218855218855219,123.5
"Oxfordshire","LSIP",2018,18,0.0196720802409713,126.7
"Oxfordshire","LSIP",2019,19,0.0210978570305814,120.8
"Oxfordshire","LSIP",2020,20,0.0240912068118552,117.7
"Oxfordshire","LSIP",2021,21,0.0218434343434343,86.5
"Oxfordshire","LSIP",2022,22,0.0216780737872549,159
"Sheffield City Region","LEP",2017,17,0.0226652489810385,127.9
"Sheffield City Region","LEP",2018,18,0.0182746949042015,117.7
"Sheffield City Region","LEP",2019,19,0.0184780900151947,105.8
"Sheffield City Region","LEP",2020,20,0.0178074340920255,87
"Sheffield City Region","LEP",2021,21,0.0210858585858586,83.5
"Sheffield City Region","LEP",2022,22,0.0182150355847626,133.6
"Solent","LEP",2017,17,0.0249867091972355,141
"Solent","LEP",2018,18,0.0232276495978636,149.6
"Solent","LEP",2019,19,0.0242241123356096,138.7
"Solent","LEP",2020,20,0.0252579007696086,123.4
"Solent","LEP",2021,21,0.0254040404040404,100.6
"Solent","LEP",2022,22,0.0211190794317345,154.9
"Solent","LSIP",2017,17,0.0249867091972355,141
"Solent","LSIP",2018,18,0.0232276495978636,149.6
"Solent","LSIP",2019,19,0.0242241123356096,138.7
"Solent","LSIP",2020,20,0.0252579007696086,123.4
"Solent","LSIP",2021,21,0.0254040404040404,100.6
"Solent","LSIP",2022,22,0.0211190794317345,154.9
"South East","LEP",2017,17,0.0665426191741981,375.5
"South East","LEP",2018,18,0.0657081638356675,423.2
"South East","LEP",2019,19,0.0693714305674415,397.2
"South East","LEP",2020,20,0.0642091043065335,313.7
"South East","LEP",2021,21,0.0652272727272727,258.3
"South East","LEP",2022,22,0.0596215199192867,437.3
"South East Midlands","LEP",2017,17,0.0473684210526316,267.3
"South East Midlands","LEP",2018,18,0.0414712914945813,267.1
"South East Midlands","LEP",2019,19,0.0403444120369562,231
"South East Midlands","LEP",2020,20,0.0426355002456198,208.3
"South East Midlands","LEP",2021,21,0.0401262626262626,158.9
"South East Midlands","LEP",2022,22,0.0410383661004008,301
"South East Midlands","LSIP",2017,17,0.0473684210526316,267.3
"South East Midlands","LSIP",2018,18,0.0414712914945813,267.1
"South East Midlands","LSIP",2019,19,0.0403444120369562,231
"South East Midlands","LSIP",2020,20,0.0426355002456198,208.3
"South East Midlands","LSIP",2021,21,0.0401262626262626,158.9
"South East Midlands","LSIP",2022,22,0.0410383661004008,301
"South Yorkshire","LSIP",2017,17,0.0226652489810385,127.9
"South Yorkshire","LSIP",2018,18,0.0182746949042015,117.7
"South Yorkshire","LSIP",2019,19,0.0184780900151947,105.8
"South Yorkshire","LSIP",2020,20,0.0178074340920255,87
"South Yorkshire","LSIP",2021,21,0.0210858585858586,83.5
"South Yorkshire","LSIP",2022,22,0.0182150355847626,133.6
"Stoke-on-Trent and Staffordshire","LEP",2017,17,0.0144249512670565,81.4
"Stoke-on-Trent and Staffordshire","LEP",2018,18,0.012824892090799,82.6
"Stoke-on-Trent and Staffordshire","LEP",2019,19,0.012662207241036,72.5
"Stoke-on-Trent and Staffordshire","LEP",2020,20,0.0124652038644179,60.9
"Stoke-on-Trent and Staffordshire","LEP",2021,21,0.0176010101010101,69.7
"Stoke-on-Trent and Staffordshire","LEP",2022,22,0.0146020232868868,107.1
"Stoke-on-Trent and Staffordshire","LSIP",2017,17,0.0144249512670565,81.4
"Stoke-on-Trent and Staffordshire","LSIP",2018,18,0.012824892090799,82.6
"Stoke-on-Trent and Staffordshire","LSIP",2019,19,0.012662207241036,72.5
"Stoke-on-Trent and Staffordshire","LSIP",2020,20,0.0124652038644179,60.9
"Stoke-on-Trent and Staffordshire","LSIP",2021,21,0.0176010101010101,69.7
