"area","geographic_level","time_period","Total Completed Key Stage 4","Cohort Group","Unknown","Not Recorded as a Sustained Destination","Sustained Apprenticeships","Sustained Education","Sustained Employment"
"Coast to Capital","LEP",201819,"221","All other qualifications","43","69","28","26","55"
"Coast to Capital","LEP",201819,"270","Level 2","26","46","33","82","83"
"Coast to Capital","LEP",201819,"2264","Level 3","135","220","69","1126","714"
"Coast to Capital","LEP",201819,"2755","Total","204","335","130","1234","852"
"Coast to Capital","LEP",201920,"217","All other qualifications","29","64","27","43","54"
"Coast to Capital","LEP",201920,"214","Level 2","21","56","24","60","53"
"Coast to Capital","LEP",201920,"2362","Level 3","149","252","42","1146","773"
"Coast to Capital","LEP",201920,"2793","Total","199","372","93","1249","880"
"Cornwall and Isles of Scilly","LEP",201718,"864","All other qualifications","77","259","109","174","245"
"Cornwall and Isles of Scilly","LEP",201718,"1214","Level 2","84","209","197","320","404"
"Cornwall and Isles of Scilly","LEP",201718,"3721","Level 3","141","441","209","1820","1110"
"Cornwall and Isles of Scilly","LEP",201718,"5799","Total","302","909","515","2314","1759"
"Cornwall and Isles of Scilly","LEP",201819,"769","All other qualifications","79","258","87","156","189"
"Cornwall and Isles of Scilly","LEP",201819,"1289","Level 2","70","245","231","294","449"
"Cornwall and Isles of Scilly","LEP",201819,"3353","Level 3","122","375","188","1680","988"
"Cornwall and Isles of Scilly","LEP",201819,"5411","Total","271","878","506","2130","1626"
"Cornwall and Isles of Scilly","LEP",201920,"781","All other qualifications","90","255","98","109","229"
"Cornwall and Isles of Scilly","LEP",201920,"965","Level 2","53","226","171","154","361"
"Cornwall and Isles of Scilly","LEP",201920,"3666","Level 3","152","453","213","1693","1155"
"Cornwall and Isles of Scilly","LEP",201920,"5412","Total","295","934","482","1956","1745"
"Coventry and Warwickshire","LEP",201718,"615","All other qualifications","95","171","82","114","153"
"Coventry and Warwickshire","LEP",201718,"482","Level 2","36","79","82","161","124"
"Coventry and Warwickshire","LEP",201718,"2078","Level 3","62","171","179","1280","386"
"Coventry and Warwickshire","LEP",201718,"3175","Total","193","421","343","1555","663"
"Coventry and Warwickshire","LEP",201819,"633","All other qualifications","78","180","81","146","148"
"Coventry and Warwickshire","LEP",201819,"581","Level 2","40","98","77","194","172"
"Coventry and Warwickshire","LEP",201819,"1979","Level 3","54","165","173","1190","397"
"Coventry and Warwickshire","LEP",201819,"3193","Total","172","443","331","1530","717"
"Coventry and Warwickshire","LEP",201920,"632","All other qualifications","78","173","57","159","165"
"Coventry and Warwickshire","LEP",201920,"432","Level 2","31","86","51","143","121"
"Coventry and Warwickshire","LEP",201920,"1940","Level 3","50","135","144","1259","352"
"Coventry and Warwickshire","LEP",201920,"3004","Total","159","394","252","1561","638"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201718,"1214","All other qualifications","147","349","173","216","329"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201718,"1367","Level 2","95","272","231","326","443"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201718,"4112","Level 3","160","342","392","2296","922"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201718,"6693","Total","402","963","796","2838","1694"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201819,"1564","All other qualifications","157","416","216","381","394"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201819,"1934","Level 2","115","354","346","445","674"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201819,"3931","Level 3","150","350","306","2226","899"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201819,"7429","Total","422","1120","868","3052","1967"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201920,"1789","All other qualifications","167","528","201","458","435"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201920,"2008","Level 2","99","414","276","658","561"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201920,"4582","Level 3","169","391","344","2608","1070"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201920,"8379","Total","435","1333","821","3724","2066"
"Dorset","LEP",201718,"595","All other qualifications","71","168","110","58","188"
"Dorset","LEP",201718,"630","Level 2","55","88","167","54","266"
"Dorset","LEP",201718,"2261","Level 3","130","213","136","1133","649"
"Dorset","LEP",201718,"3486","Total","256","469","413","1245","1103"
